"REGION_ID","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
3,1998,1,0,27.9103512396694,0.197509079224969,0,"asynchronyBetween"
3,1998,2,0.0109426141,51.6893512396694,0.365782432525347,0.0229843269804056,"asynchronyBetween"
3,1998,3,0.1410041542,68.5498234618916,0.485096457465892,0.296171057126865,"asynchronyBetween"
3,1998,4,0.1905189126,81.8845834618916,0.579460593075285,0.400173938615794,"asynchronyBetween"
3,1998,5,0.4338162837,94.8518458732392,0.671224112528726,0.911205971705172,"asynchronyBetween"
3,1998,6,0.436385202,107.493179206572,0.76068117759403,0.916601835769605,"asynchronyBetween"
3,1998,7,0.4434133361,119.730860365993,0.847281776665333,0.93136402428693,"asynchronyBetween"
3,1998,8,0.4638374615,131.677023631299,0.931819433914454,0.974263716462167,"asynchronyBetween"
3,1998,9,0.4760902553,141.311737917013,1,1,"asynchronyBetween"
3,1998,1,0,202.032,0.0132014693652556,0,"asynchronyWithin"
3,1998,2,0.221076773523801,349.435,0.0228332910016636,0.280259752266463,"asynchronyWithin"
3,1998,3,0.325827770227229,492.535,0.0321839397413092,0.413052935004889,"asynchronyWithin"
3,1998,4,0.345633295339611,613.798,0.0401076834038923,0.438160464271893,"asynchronyWithin"
3,1998,5,0.375561515808455,728.376,0.0475946060544242,0.476100567706011,"asynchronyWithin"
3,1998,6,0.54810664756681,842.939,0.0550805485530966,0.694836598228796,"asynchronyWithin"
3,1998,7,0.519253094478516,956.948,0.0625302907764247,0.658258854164415,"asynchronyWithin"
3,1998,8,0.507434961059646,1070.931,0.069978334069863,0.643276967594282,"asynchronyWithin"
3,1998,9,0.530718326169678,1184.015,0.0773676335951885,0.672793366054678,"asynchronyWithin"
3,1998,10,0.58023017688851,1294.368,0.0845784801386274,0.735559701909585,"asynchronyWithin"
3,1998,20,0.588382434680537,2351.634,0.153663895864484,0.745894345901301,"asynchronyWithin"
3,1998,30,0.626825121078535,3311.332,0.216373881148484,0.794628265772809,"asynchronyWithin"
3,1998,40,0.63497284271482,4144.636,0.270824845490494,0.804957159264985,"asynchronyWithin"
3,1998,50,0.674945027507904,4929.087,0.322083585913022,0.855630029277958,"asynchronyWithin"
3,1998,60,0.675545243037088,5664.889,0.370163432481357,0.856390924476646,"asynchronyWithin"
3,1998,70,0.676091127888664,6358.852,0.415509374139713,0.857082944496796,"asynchronyWithin"
3,1998,80,0.697755808022867,6990.905,0.456809902356618,0.884547330694246,"asynchronyWithin"
3,1998,90,0.700689182738801,7565.676,0.494367426652459,0.888265979460864,"asynchronyWithin"
3,1998,100,0.706443443226006,8107.826,0.529793382027713,0.895560674389308,"asynchronyWithin"
3,1998,110,0.71610596174331,8616.543,0.563034709595053,0.907809880865257,"asynchronyWithin"
3,1998,120,0.722267952834406,9097.858,0.594485495745455,0.915621457220079,"asynchronyWithin"
3,1998,130,0.73020569963001,9549.461,0.623994797092556,0.925684164916735,"asynchronyWithin"
3,1998,140,0.73217446362546,9970.797,0.651526348017555,0.928179973503233,"asynchronyWithin"
3,1998,150,0.735928076214163,10371.975,0.677740705530298,0.932938440516508,"asynchronyWithin"
3,1998,160,0.740460499213396,10756.477,0.702865395549104,0.938684208046425,"asynchronyWithin"
3,1998,170,0.742273807618042,11100.617,0.725352692944364,0.940982945069625,"asynchronyWithin"
3,1998,180,0.744693229779042,11419.833,0.746211370009875,0.944050054493478,"asynchronyWithin"
3,1998,190,0.751888717299027,11722.054,0.765959535018572,0.953171797667327,"asynchronyWithin"
3,1998,200,0.757035857068607,12010.297,0.784794329181127,0.959696843667006,"asynchronyWithin"
3,1998,210,0.759532199636864,12286.525,0.802844021704221,0.962861465343903,"asynchronyWithin"
3,1998,220,0.761652529998689,12537.55,0.819246863072981,0.96554941511111,"asynchronyWithin"
3,1998,230,0.763276157832642,12777.004,0.834893615297322,0.967607693451542,"asynchronyWithin"
3,1998,240,0.764715940112384,13009.638,0.850094725142875,0.969432910178775,"asynchronyWithin"
3,1998,250,0.767590275193811,13230.101,0.864500539769629,0.97307671420672,"asynchronyWithin"
3,1998,260,0.769135470636074,13438.15,0.878095180717459,0.975035563546474,"asynchronyWithin"
3,1998,270,0.769426538653413,13634.748,0.890941573735746,0.97540455142852,"asynchronyWithin"
3,1998,280,0.77165442177378,13818.197,0.902928765633994,0.978228846181156,"asynchronyWithin"
3,1998,290,0.773462605149171,13989.288,0.914108443086927,0.980521086187928,"asynchronyWithin"
3,1998,300,0.775702459707721,14155.916,0.924996492689929,0.983360557172085,"asynchronyWithin"
3,1998,310,0.777853810699881,14312.808,0.935248358392658,0.986087831894303,"asynchronyWithin"
3,1998,320,0.78003077174614,14456.89,0.944663174407372,0.988847572566258,"asynchronyWithin"
3,1998,330,0.779726297335623,14590.608,0.953400770830628,0.988461589355528,"asynchronyWithin"
3,1998,340,0.78164426567545,14714.245,0.961479639860842,0.990893004122474,"asynchronyWithin"
3,1998,350,0.783582993786649,14823.961,0.968648862621981,0.993350736119807,"asynchronyWithin"
3,1998,360,0.785017871516443,14923.245,0.975136422436565,0.995169735332954,"asynchronyWithin"
3,1998,370,0.785496988535643,15012.539,0.980971201112721,0.995777113552599,"asynchronyWithin"
3,1998,380,0.786109406323243,15093.258,0.986245659642528,0.996553477594377,"asynchronyWithin"
3,1998,390,0.786818843191789,15164.068,0.990872629853949,0.997452833043881,"asynchronyWithin"
3,1998,400,0.787776550790127,15222.873,0.994715151860482,0.998666922113373,"asynchronyWithin"
3,1998,410,0.788523453045514,15270.106,0.997801519379138,0.999613772556889,"asynchronyWithin"
