"Country","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
"BEL",1988,2,0.116181732437685,91070,0.484311848542863,0.48757054928069,"asynchronyWithin"
"BEL",1988,3,0.175587115258564,121970,0.648638587534567,0.736872350213469,"asynchronyWithin"
"BEL",1988,4,0.18649282703671,146610,0.779674537332482,0.782639475306216,"asynchronyWithin"
"BEL",1988,5,0.215073760860943,167190,0.889119336311423,0.902582785766925,"asynchronyWithin"
"BEL",1988,6,0.226211941801027,180050,0.957509040629653,0.949325495528613,"asynchronyWithin"
"BEL",1988,7,0.230041971474198,185260,0.98521591150819,0.965398673577588,"asynchronyWithin"
"BEL",1988,8,0.238287018379366,188040,1,1,"asynchronyWithin"
"BEL",1998,1,0,20364.4444444444,0.481846623024949,0,"asynchronyBetween"
"BEL",1998,2,0.5176843052,29238.8888888889,0.691826379577779,0.728759950911916,"asynchronyBetween"
"BEL",1998,3,0.5633283051,36055.5555555556,0.853116702158425,0.793014398636957,"asynchronyBetween"
"BEL",1998,4,0.6970052003,40793.3333333333,0.965218077135421,0.981195432146121,"asynchronyBetween"
"BEL",1998,5,0.7103632747,42263.3333333333,1,1,"asynchronyBetween"
"BEL",1998,1,0,101270,0.27148678355048,0,"asynchronyWithin"
"BEL",1998,2,0.0721784784215978,165850,0.444614229800011,0.367876133880398,"asynchronyWithin"
"BEL",1998,3,0.126227672129794,227700,0.6104230336175,0.643351716845501,"asynchronyWithin"
"BEL",1998,4,0.15854440750919,272140,0.729558736796955,0.808062250109539,"asynchronyWithin"
"BEL",1998,5,0.163666690703864,308260,0.826390005897807,0.834169280619248,"asynchronyWithin"
"BEL",1998,6,0.167766917040231,339020,0.908852072274945,0.855067136124691,"asynchronyWithin"
"BEL",1998,7,0.175608263556745,359030,0.962495308562544,0.895032570475667,"asynchronyWithin"
"BEL",1998,8,0.187951880105528,367930,0.986354619055279,0.957944979179337,"asynchronyWithin"
"BEL",1998,9,0.196203210195376,373020,1,1,"asynchronyWithin"
"BEL",2008,1,0,9102.75,0.362384188443513,0,"asynchronyBetween"
"BEL",2008,2,0.1240133835,16451.8928571429,0.654956561631961,0.498352211282925,"asynchronyBetween"
"BEL",2008,3,0.1835289665,21886.3928571429,0.871306222129753,0.737517707431512,"asynchronyBetween"
"BEL",2008,4,0.2488468611,25119.0595238095,1,1,"asynchronyBetween"
"BEL",2008,1,0,47328,0.266726780883679,0,"asynchronyWithin"
"BEL",2008,2,0.116186254657527,80295,0.452519161406673,0.273754449352694,"asynchronyWithin"
"BEL",2008,3,0.2017955946402,109907,0.619403742110009,0.47546452078485,"asynchronyWithin"
"BEL",2008,4,0.272347439117503,129609,0.730438458070334,0.64169658836144,"asynchronyWithin"
"BEL",2008,5,0.349326823405807,145870,0.822080703336339,0.823073025870942,"asynchronyWithin"
"BEL",2008,6,0.394693105644789,161592,0.91068530207394,0.929963652908699,"asynchronyWithin"
"BEL",2008,7,0.409559424108966,171132,0.964449954914337,0.964991211349744,"asynchronyWithin"
"BEL",2008,8,0.424417776340274,174987,0.986175608656447,1,"asynchronyWithin"
"BEL",2008,9,0.421744184404718,177440,1,0.993700565611058,"asynchronyWithin"
"CZE",1998,1,0,119968.857142857,0.483345341763504,0,"asynchronyBetween"
"CZE",1998,2,0.2704702471,193444.857142857,0.779374521145661,0.661742808410293,"asynchronyBetween"
"CZE",1998,3,0.319984333,236060.428571429,0.951069396191958,0.782885856899542,"asynchronyBetween"
"CZE",1998,4,0.4081203335,247422.261904762,0.99684535293897,0.998522752707004,"asynchronyBetween"
"CZE",1998,5,0.4087241201,248205.261904762,1,1,"asynchronyBetween"
"CZE",1998,1,0,386948,0.224789804906188,0,"asynchronyWithin"
"CZE",1998,2,0.0473943278009829,736016,0.427573971303207,0.385541210548131,"asynchronyWithin"
"CZE",1998,3,0.0593926373535464,1055225,0.613012140861647,0.483144510437757,"asynchronyWithin"
"CZE",1998,4,0.0685608859334232,1298851,0.754541858058984,0.557725959739768,"asynchronyWithin"
"CZE",1998,5,0.0939942540660788,1495729,0.868914247140516,0.764620159808514,"asynchronyWithin"
"CZE",1998,6,0.113774659229571,1630083,0.946964552216046,0.925528895214343,"asynchronyWithin"
"CZE",1998,7,0.122929343230524,1721377,1,1,"asynchronyWithin"
"CZE",2008,1,0,118135.142857143,0.461182610030884,0,"asynchronyBetween"
"CZE",2008,2,0.2263993148,172364.714285714,0.672887058744578,0.427258814884815,"asynchronyBetween"
"CZE",2008,3,0.2972839387,226373.714285714,0.883730428319019,0.56103165968262,"asynchronyBetween"
"CZE",2008,4,0.4639844837,240780,0.939970496142014,0.875627476195014,"asynchronyBetween"
"CZE",2008,5,0.5100353535,250544.666666667,0.978090350662024,0.962534276564725,"asynchronyBetween"
"CZE",2008,6,0.5249763395,254801.80952381,0.994709624204578,0.990730775203468,"asynchronyBetween"
"CZE",2008,7,0.5298879904,256156.976190476,1,1,"asynchronyBetween"
"CZE",2008,1,0,416629,0.233801296199338,0,"asynchronyWithin"
"CZE",2008,2,0.035474156382972,784812,0.440415964497898,0.671055648611842,"asynchronyWithin"
"CZE",2008,3,0.0460875055692136,1083648,0.608114910445073,0.871825692167722,"asynchronyWithin"
"CZE",2008,4,0.0462478844892693,1340932,0.752495960951279,0.874859539655447,"asynchronyWithin"
"CZE",2008,5,0.0494675578713866,1546307,0.867747038545348,0.935765287108037,"asynchronyWithin"
"CZE",2008,6,0.0512791438940745,1689758,0.948247987209726,0.970034601939567,"asynchronyWithin"
"CZE",2008,7,0.0528632110561239,1781979,1,1,"asynchronyWithin"
"DEU",1978,1,0,247157.5,0.681134001238173,0,"asynchronyBetween"
"DEU",1978,2,0.3506404531,304591.785714286,0.839415440550465,0.525708766501596,"asynchronyBetween"
